taken from https://www.bfs.admin.ch/bfs/de/home/statistiken/bevoelkerung/geburten-todesfaelle/vornamen-schweiz.assetdetail.5946318.html
Aada	11	*
Aadam	*	5
Aadan	*	7
Aadel	*	3
Aaden	*	3
Aadesh	*	5
Aadhav	*	3
Aadhya	6	*
Aadi	*	7
Aadil	*	10
Aaditya	*	5
Aadvik	*	3
Aadya	7	*
Aafje	3	*
Aafke	5	*
Aagash	*	3
Aahil	*	4
Aakash	*	13
Aalaa	3	*
Aalia	6	*
Aaliah	3	*
Aalisha	3	*
Aaliya	16	*
Aaliyah	336	*
Aaltje	21	*
Aalya	4	*
Aalyah	9	*
Aalysha	3	*
Aamar	*	3
Aamer	*	4
Aamina	12	*
Aamir	*	17
Aanya	12	*
Aarabi	7	*
Aaran	*	4
Aaranan	*	3
Aarani	9	*
Aarany	3	*
Aarathana	8	*
Aarav	*	24
Aaren	*	4
Aaricia	17	*
Aarish	*	4
Aariz	*	5
Aarjan	*	3
Aarna	4	*
Aarnav	*	4
Aarne	*	4
Aarno	*	5
Aaro	*	6
Aarohi	7	*
Aaron	*	3'478
Aarone	*	4
Aart	*	15
Aarthi	7	*
Aarthiga	4	*
Aarththy	3	*
Aarthy	3	*
Aarti	10	*
Aartje	5	*
Aaruja	3	*
Aaruran	*	5
Aarusan	*	3
Aarush	*	18
Aarusha	4	*
Aarushan	*	3
Aarushi	7	*
Aaruthi	3	*
Aarya	7	*
Aaryan	*	12
Aarón	*	24
Aasa	7	*
Aase	13	*
Aasha	4	*
Aashish	*	4
Aashna	3	*
Aasim	*	3
Aastha	3	*
Aathavan	*	15
Aathi	*	3
Aathish	*	5
Aathisha	3	*
Aathishan	*	3
Aathith	*	3
Aathithan	*	3
Aathmika	4	*
Aatos	*	4
Aava	5	*
Aaya	4	*
Aayan	*	11
Aayana	3	*
Aayansh	*	3
Aayat	3	*
Aayush	*	13
Aazam	3	*
Aba	5	5
Abaas	*	5
Ababacar	*	3
Abadi	*	3
Abadit	12	*
Abakar	*	3
Abanob	*	6
Abanoub	*	6
Abarna	23	*
Abas	*	56
Abass	*	21
Abaynesh	6	*
Abayomi	*	3
Abaz	*	100
Abba	*	3
Abbas	*	237
Abbass	*	9
Abbes	*	9
Abbey	3	*
Abbie	19	*
Abbondanza	24	*
Abbondio	*	5
Abby	69	*
Abby-Gaëlle	4	*
Abbygail	4	*
Abbygaëlle	6	*
Abd	*	54
Abdal	*	8
Abdala	*	12
Abdalah	*	6
Abdalaziz	*	3
Abdalla	*	65
Abdallah	*	215
Abdalrahman	*	12
Abde	*	4
Abdel	*	201
Abdel-Aziz	*	4
Abdel-Hakim	*	4
Abdel-Illah	*	4
Abdel-Karim	*	6
Abdela	*	10
Abdelaali	*	3
Abdelaaziz	*	3
Abdeladim	*	4
Abdelali	*	28
Abdelalim	*	4
Abdelatif	*	14
Abdelaziz	*	147
Abdelaâziz	*	3
Abdelbaki	*	6
Abdelbaset	*	3
Abdelbasset	*	15
Abdelfatah	*	5
Abdelfattah	*	19
Abdelfetah	*	3
Abdelfettah	*	5
Abdelghani	*	46
Abdelhadi	*	33
Abdelhafid	*	22
Abdelhafidh	*	4
Abdelhafiz	*	3
Abdelhak	*	63
Abdelhakim	*	46
Abdelhalim	*	15
Abdelhamid	*	86
Abdelhaq	*	8
Abdelhay	*	3
Abdelilah	*	29
Abdelillah	*	5
Abdeljabbar	*	4
Abdeljalil	*	35
Abdeljelil	*	6
Abdelkader	*	205
Abdelkadir	*	4
Abdelkarim	*	59
Abdelkebir	*	6
Abdelkerim	*	9
Abdelkhalak	*	3
Abdelkhalek	*	10
Abdelkrim	*	72
Abdella	*	21
Abdellah	*	108
Abdellatif	*	74
Abdellaziz	*	17
Abdelmadjid	*	17
Abdelmajid	*	45
Abdelmalek	*	29
Abdelmalik	*	8
Abdelmjid	*	3
Abdelmonem	*	5
Abdelmoula	*	7
Abdelmoumen	*	4
Abdelmoumene	*	3
Abdelnaser	*	3
Abdelouahab	*	21
Abdelouahed	*	12
Abdelrahim	*	7
Abdelrahman	*	46
Abdelrahmen	*	4
Abdelrazak	*	4
Abdelrhani	*	4
Abdelsalam	*	9
Abdeltif	*	6
Abdelwahab	*	20
Abdelwahad	*	5
Abdelwaheb	*	6
Abdelwahed	*	6
Abdelâli	*	3
Abdenbi	*	9
Abdennaceur	*	3
Abdennour	*	12
Abdenour	*	12
Abderahim	*	3
Abderahman	*	5
Abderahmane	*	4
Abderrahim	*	102
Abderrahman	*	33
Abderrahmane	*	74
Abderrahmen	*	12
Abderraouf	*	15
Abderrazak	*	37
Abderrazek	*	5
Abderrazzak	*	8
Abderrezak	*	11
Abdeslam	*	26
Abdeslem	*	5
Abdessadek	*	3
Abdessalam	*	9
Abdessalem	*	24
Abdessamad	*	30
Abdessamed	*	4
Abdessatar	*	7
Abdessattar	*	7
Abdesselam	*	8
Abdesselem	*	4
Abdesslam	*	4
Abdi	*	227
Abdi-Aziz	*	3
Abdias	*	5
Abdiasis	*	3
Abdiaziz	*	16
Abdiel	*	6
Abdifatah	*	28
Abdifitah	*	8
Abdigani	*	5
Abdihafid	*	3
Abdihakim	*	10
Abdihakin	*	4
Abdihamid	*	4
Abdija	*	3
Abdikadir	*	9
Abdikafi	*	3
Abdikani	*	6
Abdikarim	*	19
Abdikarin	*	6
Abdikhadar	*	3
Abdil	*	19
Abdilahi	*	7
Abdilaziz	*	5
Abdilbari	*	3
Abdilj	*	15
Abdiljazis	*	3
Abdilnaser	*	7
Abdilsamet	*	3
Abdilselam	*	3
Abdimajid	*	4
Abdimalik	*	10
Abdinaasir	*	3
Abdinasir	*	26
Abdiqani	*	10
Abdirahim	*	11
Abdirahin	*	4
Abdirahman	*	159
Abdiraim	*	3
Abdiraman	*	8
Abdirashid	*	28
Abdirazak	*	5
Abdirisaaq	*	4
Abdirisak	*	13
Abdirisaq	*	14
Abdirizak	*	23
Abdirizaq	*	4
Abdisalam	*	14
Abdisalan	*	9
Abdisamad	*	8
Abdishakur	*	14
Abdiwahab	*	4
Abdiwahid	*	4
Abdiwali	*	8
